director,id
ben sharpsteen,11426
yuri mamin,125340
sam peckinpah,7767
c.m. talkington,78258
huang jianxin,134026
jean bach,1080040
sam weisman,54967
bill condon,15557
stephen poliakoff,116607
david r. ellis,4755
gerald potterton,70616
kevin yagher,176246
joe chappelle,55116
matt reeves,32278
franco zeffirelli,24657
anna campion,75474
franco brusati,49552
wolfgang reitherman,57314
fernando trueba,37526
bill couturié,116103
werner herzog,6818
andré téchiné,96627
mika kaurismäki,54767
férid boughedir,1044284
martin lawrence,78029
stacy title,72619
gregory hoblit,17812
clément virgo,173004
bruno barreto,69719
paul sabella,71852
larry leker,952327
hal salwen,974388
jonathan r. betuel,70835
richard pearce,73496
todd verow,230320
jonathan lynn,21217
tim sullivan,20773
jeremiah s. chechik,34682
hervé palud,69537
martin enlen,43440
carlo rola,68998
claude sautet,20789
friðrik þór friðriksson,6759
pen densham,2182
sönke wortmann,1869
park chul-soo,105617
rob cohen,18878
joseph vilsmaier,14614
michael verhoeven,26595
gray hofmeyr,80526
richard wherrett,559920
rené clément,9740
anthony hopkins,4173
paul mazursky,47773
emir kusturica,15254
bo widerberg,96934
alan mehrez,115983
satyajit ray,12160
jim mallon,30021
joe pytka,23677
roger vadim,53767
catherine cyran,98940
brett piper,98094
george hickenlooper,37852
jean-luc godard,3776
bertrand tavernier,20556
gordon willis,3097
randal kleiser,8876
michael blakemore,1080036
margarethe von trotta,39298
norberto barba,104404
eli cohen,585248
robert mandel,43786
pat verducci,1046169
michael winterbottom,172
steven baigelman,73838
zalman king,42113
barry caillier,1661328
patrick read johnson,56059
stijn coninx,81964
john cassavetes,11147
stacy cochran,129708
jean-claude van damme,15111
mark joffe,59438
steve gomer,104507
george scribner,71792
tom decerchio,1175207
alan shapiro,129941
angela pope,1016352
betty kaplan,1585647
jim jarmusch,4429
jean-paul rappeneau,25950
jack hill,31310
manuel gómez pereira,108499
jean-marie poiré,64909
brett thompson,940684
francesco sframeli,1093108
spiro scimone,1093110
stephen quay,124237
timothy quay,124238
phil joanou,18500
larry cohen,19266
harvey miller,29706
michele soavi,87680
david hogan,70792
maurice pialat,16988
gabriel barylli,564791
mamoru oshii,12180
tom holland,64796
rick friedberg,65548
udayan prasad,145304
nick park,7314
abraham polonsky,81976
david twohy,28239
robert z. leonard,93906
stanley kubrick,240
guy maddin,97579
john o'brien,153908
kevin james dobson,114468
victor saville,14860
helena solberg,1090082
ebrahim forouzesh,1209349
freida lee mock,223825
david keating,229695
james mangold,366
francis ford coppola,1776
mary harron,16378
charles matthau,122728
goran paskaljević,1009298
mwezé ngangura,1184422
benoît lamy,24409
jean-pierre bekolo,1177451
djibril diop mambéty,1079380
gaston kaboré,1153142
federico fellini,4415
victoria foyt,990400
robby henson,21415
scott winant,1214396
carma hinton,240366
richard gordon,30811
lucian pintilie,592762
gazdag gyula,544331
gérard mordillat,41521
mel chionglo,262130
christopher larkin,1144694
laurent heynemann,138795
bronwen hughes,18320
nicole holofcener,56539
éric rohmer,28615
fraser clarke heston,66076
kevin hooks,40230
ildikó enyedi,1059880
howard franklin,2357
mitch marcus,30869
jaime hellman,1046588
nicolas roeg,14132
arlene sanford,15042
maurizio nichetti,225140
paul turner,87397
peter sehr,56201
gernot roll,1870
rolf silber,48685
peter weck,6258
manoel de oliveira,81749
john payson,71110
hugh wilson,28904
nigel finch,179609
hart bochner,7678
doug ellin,183036
annette haywood-carter,119310
danny devito,518
douglas mcgrath,32983
tim pope,65602
harry winer,92554
georges franju,37302
gilbert adler,10953
john rubino,1080308
yin li,1189125
yim ho,146295
marcus deleon,117808
lee david zlotoff,1232954
tran anh hung,107730
julian schnabel,7482
rolf de heer,112674
keisuke kinoshita,587603
nicole garcia,24485
leone pompucci,252740
zheng jun-li,1112331
lisa krueger,124092
mikio naruse,125690
lana wachowski,9340
lilly wachowski,9339
arthur hiller,133259
john ruane,1155073
peter shaner,1276348
tsai ming-liang,71174
daniel schmid,64219
tim metcalfe,69042
izidore k. musallam,232119
jim mckay,205639
karim dridi,118513
john frankenheimer,13776
richard stanley,42175
david m. evans,69741
david koepp,508
gary winick,17046
nick hamm,6361
roy allen smith,24346
theo van gogh,28889
trevor nunn,98750
keith gordon,33054
max ophüls,14353
jan jakub kolski,587971
sam wood,10790
george cukor,14674
stanley donen,13284
gene kelly,13294
vincente minnelli,13980
blake edwards,1927
alfred hitchcock,2636
frank capra,2662
mark sandrich,30165
billy wilder,3146
michael curtiz,4109
john huston,6593
william wyler,10001
walter lang,80570
victor fleming,9049
orson welles,40
mitchell leisen,108914
joseph l. mankiewicz,10601
leo mccarey,30008
ernst lubitsch,2428
william keighley,67426
rouben mamoulian,29595
otto preminger,834
gregory la cava,74659
george stevens,18738
elia kazan,2746
w.s. van dyke,32427
howard hawks,11435
michael anderson,20412
victor sjöström,8741
william a. wellman,14643
john cromwell,31497
archie mayo,81165
busby berkeley,95293
henry koster,33064
james edward grant,50302
lewis milestone,2000
howard hughes,13348
george a. romero,14999
richard brooks,3632
victor schertzinger,148849
frank borzage,14855
edwin l. marin,78053
thaddeus o'sullivan,72467
corey yuen kwai,35452
joshua logan,86051
chris newby,1063201
richard schenkman,76462
allan miller,1468019
carroll ballard,68212
lance young,549024
ringo lam,26767
amy holden jones,21371
matthew broderick,4756
stanley tucci,2283
campbell scott,55152
robert m. young,86293
john herzfeld,27846
reb braddock,71825
rené gainville,584483
john walsh,1217874
john gray,35155
robert lieberman,27146
norman tokar,83413
norman foster,87459
john hough,19032
robert stevenson,5834
david swift,29715
duwayne dunham,6592
charles barton,30099
ken annakin,35318
richard fleischer,2087
william dear,56506
clyde geronimi,64864
wilfred jackson,11434
william roberts,11427
jack kinney,74565
harold young,103344
norman ferguson,226599
harold d. schuster,9082
samuel armstrong,5691
don chaffey,25558
ted berman,67604
art stevens,67607
matthew bright,55117
robert wise,1744
nick cassavetes,11151
iara lee,1006852
tom hanks,31
michael pressman,59649
joseph bologna,46946
hettie macdonald,67570
al pacino,1158
steve buscemi,884
ismail merchant,54448
john mcnaughton,9200
leon ichaso,78997
baz luhrmann,6201
doug liman,11694
michael cimino,12114
scott silver,324
tad stones,56852
anthony asquith,32919
edward dmytryk,64114
josef von sternberg,2891
nicholas ray,2765
aaron kim johnston,117083
